college,name,link
数理学院,数理论坛第八期预告,https://lxy.njtech.edu.cn/info/1013/3896.htm
数理学院,力学自排考试,https://lxy.njtech.edu.cn/info/1013/3884.htm
数理学院,数理论坛第六期暨数理青年论坛第二期预告,https://lxy.njtech.edu.cn/info/1013/3872.htm
数理学院,力学自排考试《数值流体力学与仿真》安排,https://lxy.njtech.edu.cn/info/1013/3871.htm
数理学院,数理科学学院关于本科专业负责人、本科课程负责人选聘及本科 ...,https://lxy.njtech.edu.cn/info/1013/3863.htm
数理学院,数理论坛预告,https://lxy.njtech.edu.cn/info/1013/3855.htm
数理学院,数理论坛预告,https://lxy.njtech.edu.cn/info/1013/3842.htm
数理学院,2023年南京工业大学数理科学学院硕士研究生预调剂公告,https://lxy.njtech.edu.cn/info/1013/3838.htm
数理学院,学院自排补考3--物理,https://lxy.njtech.edu.cn/info/1013/3829.htm
数理学院,数理论坛暨教师教学研究能力提升专题报告会预告,https://lxy.njtech.edu.cn/info/1013/3824.htm
化工院,2021年12月9日下午14：00-“传承·创新·提升”化工学院系列教学研讨会...,https://hgy.njtech.edu.cn/info/1036/3246.htm
化工院,太阳能催化全分解水制氢,https://hgy.njtech.edu.cn/info/1036/2722.htm
化工院,宽光谱响应光催化全分解水体系的构筑,https://hgy.njtech.edu.cn/info/1036/2721.htm
化工院,有机/无机杂化纳米材料的可控制制备及其功能化,https://hgy.njtech.edu.cn/info/1036/2720.htm
化工院,纳米反应器的构筑,https://hgy.njtech.edu.cn/info/1036/2719.htm
化工院,氧化还原活性配合物材料合成与性能研究,https://hgy.njtech.edu.cn/info/1036/2718.htm
化工院,共价有机框架膜,https://hgy.njtech.edu.cn/info/1036/2717.htm
化工院,电化学过程的多尺度多物理场建模,https://hgy.njtech.edu.cn/info/1036/2716.htm
化工院,金属有机框架膜的制备和结构调控,https://hgy.njtech.edu.cn/info/1036/2715.htm
化工院,分离限域催化膜的设计及其对复合微污染物的增效去除,https://hgy.njtech.edu.cn/info/1036/2714.htm
计算机院,学术报告--计算机图形学与AI的结合,https://cise.njtech.edu.cn/info/1058/7319.htm
计算机院,计算机科学与技术学院青年博士论坛系列讲座之四十九,https://cise.njtech.edu.cn/info/1058/7196.htm
计算机院,计算机科学与技术学院青年博士论坛系列讲座之四十八,https://cise.njtech.edu.cn/info/1058/7195.htm
计算机院,计算机科学与技术学院青年博士论坛系列讲座之四十七,https://cise.njtech.edu.cn/info/1058/7194.htm
计算机院,计算机科学与技术学院青年博士论坛系列讲座之四十六,https://cise.njtech.edu.cn/info/1058/7191.htm
计算机院,计算机科学与技术学院青年博士论坛系列讲座之四十五,https://cise.njtech.edu.cn/info/1058/7179.htm
计算机院,计算机科学与技术学院青年博士论坛系列讲座之四十四,https://cise.njtech.edu.cn/info/1058/7169.htm
计算机院,计算机科学与技术学院青年博士论坛系列讲座之四十三,https://cise.njtech.edu.cn/info/1058/7165.htm
计算机院,计算机科学与技术学院青年博士论坛系列讲座之四十二,https://cise.njtech.edu.cn/info/1058/7151.htm
计算机院,计算机科学与技术学院青年博士论坛系列讲座之四十一,https://cise.njtech.edu.cn/info/1058/7084.htm
材料院,【润德集-导师学术报告会】材料科学与工程学院学术沙龙第二十期讲座,https://cly.njtech.edu.cn/info/1156/8168.htm
材料院,【学术报告】带你了解《硅酸盐学报》&Journal of Materiomics,https://cly.njtech.edu.cn/info/1156/8149.htm
材料院,我校举行赵震、黄岭兼职教授聘任仪式,https://cly.njtech.edu.cn/info/1156/8164.htm
材料院,【润德集-导师学术报告会】材料科学与工程学院学术沙龙第十九期讲座,https://cly.njtech.edu.cn/info/1156/8117.htm
材料院,材料学院“砼创行”产学研系列活动走进道生天合材料科技（上海）股份...,https://cly.njtech.edu.cn/info/1156/8115.htm
材料院,我院召开第二届教授委员会第二次全体会议,https://cly.njtech.edu.cn/info/1156/8140.htm
材料院,材料科学与工程学院“砼创行”产学研系列活动走进泰州兴化,https://cly.njtech.edu.cn/info/1156/8116.htm
材料院,材料学院赴泗洪产学研交流,https://cly.njtech.edu.cn/info/1156/8073.htm
材料院,开封市副市长王国庆调研我院,https://cly.njtech.edu.cn/info/1156/8074.htm
材料院,南京硅酸盐学会第八次会员代表大会在我校召开,https://cly.njtech.edu.cn/info/1156/8085.htm
柔性电子,关于上海科技大学熊泽研究员学术报告的通知,https://iam.njtech.edu.cn/info/1057/6277.htm
柔性电子,关于北京大学张大庆教授学术报告的通知,https://iam.njtech.edu.cn/info/1057/6271.htm
柔性电子,关于华中科技大学武汉光电国家研究中心牛广达教授学术报告的通知,https://iam.njtech.edu.cn/info/1057/6266.htm
柔性电子,关于剑桥大学卡文迪许实验室戴霖杰博士学术报告的通知,https://iam.njtech.edu.cn/info/1057/6262.htm
柔性电子,关于新加坡科技研究局材料与工程研究院吴艺明博士学术报告的通知,https://iam.njtech.edu.cn/info/1057/6245.htm
柔性电子,关于厦门大学梁亮亮教授学术报告的通知,https://iam.njtech.edu.cn/info/1057/6244.htm
柔性电子,关于厦门大学陈洪敏教授学术报告的通知,https://iam.njtech.edu.cn/info/1057/6228.htm
柔性电子,关于香港城市大学张华教授、张其春教授学术报告的通知,https://iam.njtech.edu.cn/info/1057/6226.htm
柔性电子,关于复旦大学陈鹏程研究员学术报告的通知,https://iam.njtech.edu.cn/info/1057/6223.htm
